date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2010-08-06,118.92,94.238,1.0,1.0,0.003333,0.003333,1.0287,1.294334
2010-08-09,128.33,94.39,1.0,1.0,0.00894,0.00894,1.037897,1.305905
2010-08-10,131.32,94.51,1.0,1.0,-0.007188,-0.007188,1.030437,1.296519
2010-08-11,126.39,94.582,1.0,1.0,-0.010244,-0.010244,1.019881,1.283238
2010-08-12,123.54,94.63,1.0,1.0,-0.008263,-0.008263,1.011454,1.272634
2010-08-13,130.38,95.008,1.0,1.0,0.007892,0.007892,1.019436,1.282677
2010-08-16,133.23,95.296,1.0,1.0,0.00629,0.00629,1.025848,1.290745
2010-08-17,137.26,95.404,1.0,1.0,-0.001276,-0.001276,1.024539,1.289099
2010-08-18,94.0,95.332,0.0,1.0,-0.000881,-0.000881,1.023637,1.287963
2010-08-19,97.86,95.44,1.0,0.0,0.000611,-0.0002,1.023432,1.288749
2010-08-20,98.2,95.518,1.0,1.0,-0.000206,-0.000406,1.023017,1.288484
2010-08-23,102.59,95.598,1.0,1.0,0.006133,0.006133,1.029291,1.296387
2010-08-24,107.36,95.682,1.0,1.0,-0.004425,-0.004425,1.024737,1.290651
2010-08-25,104.11,95.762,1.0,1.0,-0.025648,-0.025648,0.998455,1.257549
2010-08-26,97.93,95.84,1.0,1.0,-0.006106,-0.006106,0.992358,1.24987
2010-08-27,94.99,95.788,0.0,1.0,0.004314,0.004314,0.996639,1.255262
2010-08-30,99.18,95.84,1.0,0.0,0.002368,-0.0002,0.99644,1.258235
2010-08-31,92.36,95.814,0.0,1.0,-0.016137,-0.016337,0.980161,1.23793
2010-09-01,90.3,95.762,0.0,0.0,0.006824,-0.0002,0.979965,1.246377
2010-09-02,95.87,95.84,1.0,0.0,0.006856,0.0,0.979965,1.254922
2010-09-03,100.29,95.84,1.0,1.0,0.014168,0.013968,0.993653,1.272702
2010-09-06,109.63,95.846,1.0,1.0,0.007757,0.007757,1.001361,1.282575
2010-09-07,111.33,95.864,1.0,1.0,-0.00083,-0.00083,1.00053,1.28151
2010-09-08,107.97,95.882,1.0,1.0,-0.004197,-0.004197,0.996331,1.276132
2010-09-09,110.27,95.9,1.0,1.0,-0.002009,-0.002009,0.994329,1.273568
2010-09-10,113.91,96.53,1.0,1.0,0.006964,0.006964,1.001254,1.282438
2010-09-13,135.59,96.968,1.0,1.0,0.025499,0.025499,1.026785,1.315139
2010-09-14,146.21,97.022,1.0,1.0,0.005104,0.005104,1.032026,1.321852
