date,strategy,benchmark,exposure,pnl,nav,dtp_gated
1999-11-20,1.0,1.284101,0.0,0.0,1.0,1
1999-11-22,1.0,1.308802,0.0,0.0,1.0,1
1999-11-23,1.0,1.307807,0.0,-0.0,1.0,1
1999-11-24,1.0,1.287597,0.0,-0.0,1.0,1
1999-11-25,1.0,1.284782,0.0,-0.0,1.0,1
1999-11-26,1.0,1.234543,0.0,-0.0,1.0,1
1999-11-29,1.0,1.271676,0.0,0.0,1.0,1
1999-11-30,1.0,1.25493,0.0,-0.0,1.0,1
1999-12-01,1.0,1.262298,0.0,0.0,1.0,1
1999-12-02,1.0,1.268809,0.0,0.0,1.0,1
1999-12-03,1.0,1.289437,0.0,0.0,1.0,1
1999-12-04,1.0,1.294528,0.0,0.0,1.0,1
1999-12-06,1.0,1.283145,0.0,-0.0,1.0,1
1999-12-07,1.0,1.272188,1.0,-0.0,1.0,0
1999-12-08,0.997752,1.269583,1.0,-0.002248,0.997752,0
1999-12-09,0.988532,1.257851,0.666667,-0.009241,0.988532,0
1999-12-10,0.988034,1.257027,0.666667,-0.000503,0.988034,0
1999-12-13,1.000796,1.281382,1.0,0.012917,1.000796,0
1999-12-14,0.996481,1.275941,1.0,-0.004312,0.996481,0
1999-12-15,0.997718,1.277526,1.0,0.001242,0.997718,0
1999-12-16,0.982469,1.258,1.0,-0.015284,0.982469,0
1999-12-17,0.98037,1.255312,0.666667,-0.002137,0.98037,0
1999-12-18,0.986622,1.267446,1.0,0.006377,0.986622,0
1999-12-20,0.984667,1.265019,1.0,-0.001981,0.984667,0
1999-12-21,1.003811,1.289614,1.0,0.019443,1.003811,0
1999-12-22,1.012478,1.300748,1.0,0.008633,1.012478,0
1999-12-23,1.022691,1.313869,1.0,0.010088,1.022691,0
1999-12-24,1.039892,1.335968,1.0,0.016819,1.039892,0
1999-12-27,1.064641,1.367764,1.0,0.0238,1.064641,0
1999-12-28,1.068914,1.373253,1.0,0.004013,1.068914,0
2000-01-04,1.107844,1.423267,1.0,0.03642,1.107844,0
2000-01-05,1.119651,1.438435,1.0,0.010657,1.119651,0
2000-01-06,1.12878,1.450164,1.0,0.008154,1.12878,0
2000-01-07,1.119094,1.43772,1.0,-0.008581,1.119094,0
2000-01-10,1.151625,1.479513,1.0,0.029069,1.151625,0
2000-01-11,1.129413,1.450976,1.0,-0.019288,1.129413,0
2000-01-12,1.156945,1.486348,1.0,0.024378,1.156945,0
2000-01-13,1.152206,1.480259,1.0,-0.004096,1.152206,0
2000-01-14,1.141585,1.466614,1.0,-0.009218,1.141585,0
2000-01-15,1.162856,1.493941,1.0,0.018633,1.162856,0
2000-01-17,1.178551,1.514106,1.0,0.013497,1.178551,0
2000-01-18,1.170297,1.503502,1.0,-0.007003,1.170297,0
2000-01-19,1.157804,1.487451,1.0,-0.010675,1.157804,0
2000-01-20,1.155971,1.485096,1.0,-0.001583,1.155971,0
2000-01-21,1.171025,1.504436,1.0,0.013023,1.171025,0
2000-01-24,1.187615,1.52575,1.0,0.014167,1.187615,0
2000-01-25,1.185755,1.523361,1.0,-0.001566,1.185755,0
2000-01-26,1.212272,1.557427,1.0,0.022363,1.212272,0
2000-01-27,1.218221,1.565069,1.0,0.004907,1.218221,0
2000-01-28,1.226815,1.576111,1.0,0.007055,1.226815,0
2000-01-29,1.219157,1.566272,1.0,-0.006242,1.219157,0
2000-01-31,1.232885,1.583909,1.0,0.01126,1.232885,0
2000-02-01,1.246992,1.602032,1.0,0.011442,1.246992,0
2000-02-09,1.266284,1.626817,1.0,0.015471,1.266284,0
2000-02-10,1.272457,1.634748,1.0,0.004875,1.272457,0
2000-02-11,1.281439,1.646288,1.0,0.007059,1.281439,0
2000-02-14,1.261548,1.620734,1.0,-0.015522,1.261548,0
2000-02-15,1.259814,1.618505,1.0,-0.001375,1.259814,0
2000-02-16,1.27332,1.635856,1.0,0.01072,1.27332,0
2000-02-17,1.290742,1.658239,1.0,0.013683,1.290742,0
2000-02-18,1.277354,1.641039,1.0,-0.010372,1.277354,0
2000-02-19,1.285536,1.651551,1.0,0.006405,1.285536,0
