date,adj
2010-06-30,23.925
2010-07-01,23.8703
2010-07-02,24.0779
2010-07-05,24.2309
2010-07-06,24.6023
2010-07-07,24.7334
2010-07-08,25.083
2010-07-09,25.1267
2010-07-12,25.1594
2010-07-13,25.1267
2010-07-14,25.3233
2010-07-15,25.3452
2010-07-16,25.3342
2010-07-19,25.2905
2010-07-20,25.5964
2010-07-21,25.5527
2010-07-22,25.3779
2010-07-23,25.7822
2010-07-26,25.7822
2010-07-27,25.9788
2010-07-28,26.1754
2010-07-29,26.2191
2010-07-30,26.1099
2010-08-02,26.4376
2010-08-03,26.4813
2010-08-04,26.4376
2010-08-05,26.3939
2010-08-06,26.4376
2010-08-09,26.6124
2010-08-10,26.5906
2010-08-11,26.2847
2010-08-12,26.1099
2010-08-13,26.3502
2010-08-16,26.3284
2010-08-17,26.4267
2010-08-18,26.82
2010-08-19,26.7326
2010-08-20,26.8637
2010-08-23,27.115
2010-08-24,27.0494
2010-08-25,26.3284
2010-08-26,26.383
2010-08-27,26.383
2010-08-30,26.525
2010-08-31,26.1099
2010-09-01,26.2301
2010-09-02,26.3939
2010-09-03,26.5906
2010-09-06,26.6671
2010-09-07,26.6124
2010-09-08,26.4704
2010-09-09,26.7107
2010-09-10,26.8418
2010-09-13,27.3116
2010-09-14,27.5301
2010-09-15,27.5956
2010-09-16,27.6284
2010-09-17,27.6393
2010-09-20,27.6503
2010-09-21,27.6393
2010-09-23,27.6066
2010-09-24,27.4755
2010-09-27,27.5847
2010-09-28,27.5301
2010-09-29,27.694
2010-09-30,27.6393
2010-10-01,27.7377
2010-10-04,27.7486
2010-10-05,27.8469
2010-10-06,28.2293
2010-10-07,28.2074
2010-10-08,28.131
2010-10-11,28.0436
2010-10-12,27.9125
2010-10-13,27.8032
2010-10-14,28.2948
2010-10-15,28.4478
2010-10-18,27.9125
2010-10-19,27.8906
2010-10-20,28.131
2010-10-21,28.1856
2010-10-22,28.2183
2010-10-25,28.6226
2010-10-26,28.8411
2010-10-27,28.7318
2010-10-28,28.7537
2010-10-29,28.7318
2010-11-01,28.9503
2010-11-02,28.9503
2010-11-03,28.7646
2010-11-04,28.9503
2010-11-05,29.3764
2010-11-08,29.6495
